#######################################################
#
#
#When importing to FEEditorAdv delete # and after each line.
#######################################################
/// - Mode 1               #Melee Animation
2  p- standing.png
C01                               #NOP

~~~ - Mode 3               #Melee Critical Animation
2  p- standing.png
C01                               #NOP
                         
~~~ - Mode 5               #Ranged Animation
2  p- standing.png
C01                               #NOP

~~~ - Mode 6               #Ranged Critical Animation
2  p- standing.png
C01                               #NOP

~~~ - Mode 7               #Dodge Melee Attack
5  p- standing.png
C02                               #Start of dodge
3  p- dodge_001.png
3  p- dodge_002.png
2  p- dodge_003.png
C1B				  #Play quick "heavy step" SFE
2  p- dodge_004.png
2  p- dodge_005.png
2  p- dodge_006.png
C01                               #NOP
3  p- dodge_007.png
2  p- dodge_008.png
C1B				  #Play quick "heavy step" SFE
3  p- dodge_009.png
5  p- standing.png
C06                               #Begin opponent's turn after hit.next code 0D.
C0D                               #End of dodge animation. preceeded by 0x06

~~~ - Mode 8               #Dodge Ranged Attack
5  p- standing.png
C02                               #Start of dodge
3  p- dodge_001.png
3  p- dodge_002.png
2  p- dodge_003.png
C1B				  #Play quick "heavy step" SFE
2  p- dodge_004.png
2  p- dodge_005.png
2  p- dodge_006.png
C01                               #NOP
3  p- dodge_007.png
2  p- dodge_008.png
C1B				  #Play quick "heavy step" SFE
3  p- dodge_009.png
5  p- standing.png
C06                               #Begin opponent's turn after hit.next code 0D.
C0D                               #End of dodge animation. preceeded by 0x06

~~~ - Mode 9               #Equiped with Melee Weapon
2  p- standing.png
C01                               #NOP

~~~ - Mode 10               #standing motions?
2  p- standing.png
C01                               #NOP

~~~ - Mode 11               #Equiped with Ranged weapon
2  p- standing.png
C01                               #NOP

~~~ - Mode 12               #Attack Missed Animation
2  p- standing.png
C01                               #NOP

~~~ - End Animation Data
