## Loc_RamVillage
Villamard[0xE1]n[X]

## Loc_FleecersForest
B. de Mard[0xE1]n[X]

## Loc_ThievesShrine
S. de Bandidos[X]

## Loc_RamValley
Valle Mard[0xE1]n[X]

## Loc_SouthernOutpost
B. Meridional[X]

## Loc_SouthernZofia1
Fuerte Zofia 1[X]

## Loc_SouthernZofia2
Fuerte Zofia 2[X]

## Loc_DeliveranceHideout
Cuartel[X]

## Loc_ZofiaCastle
Castillo Zofia[X]

## Loc_NovisPriory
Priorato Novis[X]

## Loc_NovisCemetery
Cementerio N.[X]

## Loc_NovisPort
Novis Port[X]

## Loc_PirateThrone
Pirate Throne[X]

## Loc_ZofiaStrait
Zofia Strait[X]

## Loc_SeaboundShrine
Seabound S.[X]

## Loc_MareMeridium
M. Meridium[X]

## Loc_ZofiaHarbor
Zofia Harbor[X]

## Loc_NorthernZofia
N. Zofia[X]

## Loc_ZofiaForest1
Z. Forest 1[X]

## Loc_ForestVillage
Forest Village[X]

## Loc_DesaixFortress
Desaix's Fort[X]

## Loc_ZofiaForest2
Z. Forest 2[X]

## Loc_SylvanShrine
Sylvan Shrine[X]

## Loc_ForestNorthside
Forest North[X]

## Loc_SluiceGate
Sluice Gate[X]

## Loc_ZofiaBay
Zofia Bay[X]

## Loc_MountainVillage
Mtn Village[X]

## Loc_DesertBastion
Desert Bastion[X]

## Loc_ZofiaDesert
Zofia Desert[X]

## Loc_GriethCitadel
Grieth's Base[X]

## Loc_ValleyApproach
Vly Approach[X]

## Loc_DragonShrine
Dragon Shrine[X]

## Loc_MilaTemple
Mila Temple[X]

## Loc_DeadMansMire
Undead Mire[X]

## Loc_MireBoneyard
Mire Boneyard[X]

## Loc_DolthKeep
Dolth Keep[X]

## Loc_SagesHamlet
Sage's Hamlet[X]

## Loc_DumaGate
Duma Gate[X]

## Loc_DumaSwamp
Duma Swamp[X]

## Loc_DumaTower
Duma Tower[X]

## Loc_RigelForest1
R. Forest 1[X]

## Loc_RigelForest2
R. Forest 2[X]

## Loc_FearMountainPass
Fear Mtn Pass[X]

## Loc_FearMountainShrine
Fear Mountain[X]

## Loc_NuibabasAbode
Nuibaba Manor[X]

## Loc_RigelVillage
Rigel Village[X]

## Loc_RigelValley
Rigel Valley[X]

## Loc_DragonsMaw
Dragon's Maw[X]

## Loc_RigelFalls
Rigel Falls[X]

## Loc_SecretShrine
Secret Shrine[X]

## Loc_LastBastion
Last Bastion[X]

## Loc_RigelCastle
Rigel Castle[X]
